PO Line ID,Invoice Posting Date,IR Effective Quantity,IR Amount USD
"4581809948-2",2022-12-15 00:00:00.000,70.00,5288.50
"4581809983-1",2023-08-05 00:00:00.000,2.00,1030.20
"4581809983-10",2022-12-19 00:00:00.000,4.00,717.96
"4581809983-7",2023-03-21 00:00:00.000,1.00,867.31
"4581809983-8",2023-05-02 00:00:00.000,1.00,872.04
"4581809983-9",2022-12-19 00:00:00.000,6.00,1292.88
"4581813481-1",2022-12-11 00:00:00.000,3900.00,31824.00
"4581813481-2",2022-12-11 00:00:00.000,5.00,5076.20
"4581813481-3",2022-12-11 00:00:00.000,5.00,4426.80
"4581815947-1",2022-12-07 00:00:00.000,640.00,14935.40
"4581815947-1",2022-12-12 00:00:00.000,640.00,14935.41
"4581815947-1",2023-03-23 00:00:00.000,-640.00,-14935.40
"4581816062-1",2023-05-17 00:00:00.000,4.00,3510.00
"4581816348-1",2023-05-17 00:00:00.000,1.00,714.00
"4581816348-10",2023-05-17 00:00:00.000,1.00,1319.50
"4581816348-11",2023-05-17 00:00:00.000,2.00,2516.12
"4581816348-12",2023-05-17 00:00:00.000,1.00,1281.82
"4581816348-13",2023-05-17 00:00:00.000,1.00,996.00
"4581816348-14",2023-05-17 00:00:00.000,1.00,1158.15
"4581816348-15",2023-05-17 00:00:00.000,1.00,476.52
"4581816348-16",2023-05-17 00:00:00.000,1.00,476.52
"4581816348-17",2023-05-17 00:00:00.000,1.00,566.98
"4581816348-18",2023-05-17 00:00:00.000,1.00,482.53
"4581816348-19",2023-05-17 00:00:00.000,4.00,579.12
"4581816348-2",2023-05-17 00:00:00.000,6.00,8073.00
"4581816348-20",2023-05-17 00:00:00.000,4.00,579.12
"4581816348-21",2023-05-17 00:00:00.000,2.00,542.92
"4581816348-22",2023-05-17 00:00:00.000,4.00,796.16
"4581816348-23",2023-05-17 00:00:00.000,2.00,386.04
"4581816348-24",2023-05-17 00:00:00.000,2.00,277.42
"4581816348-25",2023-05-17 00:00:00.000,1.00,1791.47
"4581816348-26",2023-05-17 00:00:00.000,1.00,1966.39
"4581816348-27",2023-05-17 00:00:00.000,1.00,3305.47
"4581816348-28",2023-05-17 00:00:00.000,4.00,4560.16
"4581816348-29",2023-05-17 00:00:00.000,4.00,1447.72
"4581816348-3",2023-05-17 00:00:00.000,1.00,1768.00
"4581816348-30",2023-05-17 00:00:00.000,2.00,1202.34
"4581816348-31",2023-05-17 00:00:00.000,1.00,337.81
"4581816348-32",2023-05-17 00:00:00.000,1.00,1692.48
"4581816348-33",2023-05-17 00:00:00.000,1.00,339.77
"4581816348-34",2023-05-17 00:00:00.000,1.00,7531.72
"4581816348-35",2023-05-17 00:00:00.000,1.00,1381.31
"4581816348-4",2023-05-17 00:00:00.000,1.00,3395.25
"4581816348-5",2023-05-17 00:00:00.000,1.00,3756.25
"4581816348-6",2023-05-17 00:00:00.000,1.00,4159.51
"4581816348-7",2023-05-17 00:00:00.000,1.00,5925.14
"4581816348-8",2023-05-17 00:00:00.000,1.00,1288.08
"4581816348-9",2023-05-17 00:00:00.000,1.00,1352.52
"4581816556-1",2023-05-09 00:00:00.000,2.00,99.34
"4581816568-1",2022-12-13 00:00:00.000,22.00,3948.78
"4581816568-1",2022-12-21 00:00:00.000,8.00,1435.92
"4581823294-1",2022-12-27 00:00:00.000,1.00,16.42
"4581824586-1",2023-02-11 00:00:00.000,100.00,775.00
"4581824586-2",2022-12-12 00:00:00.000,100.00,623.00
"4581824586-3",2023-02-11 00:00:00.000,100.00,325.00
"4581824703-1",2022-12-22 00:00:00.000,50.00,1448.00
"4581824859-1",2023-03-23 00:00:00.000,181.50,56272.38
"4581824859-1",2023-03-28 00:00:00.000,117.00,36274.76
"4581824859-1",2023-04-03 00:00:00.000,292.50,89293.58
"4581824859-1",2023-04-05 00:00:00.000,219.00,66855.71
"4581824859-1",2023-04-06 00:00:00.000,63.00,19232.46
"4581824859-1",2023-04-07 00:00:00.000,142.50,43502.00
"4581824859-1",2023-04-12 00:00:00.000,87.00,26559.11
"4581824859-1",2023-04-14 00:00:00.000,258.00,78761.52
"4581824859-1",2023-04-15 00:00:00.000,39.00,11905.81
"4581824859-1",2023-04-18 00:00:00.000,219.00,66855.71
"4581824859-1",2023-04-19 00:00:00.000,117.00,35717.43
"4581824859-1",2023-04-21 00:00:00.000,51.00,15569.13
"4581824859-1",2023-04-23 00:00:00.000,-219.00,-66855.71
"4581824859-1",2023-05-03 00:00:00.000,535.00,31220.78
"4581824859-1",2023-05-10 00:00:00.000,54.00,16289.10
"4581824859-1",2023-05-11 00:00:00.000,79.50,23981.18
"4581824859-1",2023-05-14 00:00:00.000,63.00,19003.96
"4581824859-1",2023-05-15 00:00:00.000,48.00,14479.20
"4581824859-1",2023-05-16 00:00:00.000,238.50,71943.56
"4581824859-1",2023-05-19 00:00:00.000,120.00,36198.01
"4581824859-1",2023-05-21 00:00:00.000,217.50,65608.91
"4581824859-1",2023-05-24 00:00:00.000,315.00,95019.80
"4581824859-1",2023-05-25 00:00:00.000,103.50,31220.79
"4581824859-1",2023-06-06 00:00:00.000,144.00,42927.59
"4581824859-1",2023-06-07 00:00:00.000,238.50,71098.82
"4581824859-1",2023-06-10 00:00:00.000,181.50,54106.63
"4581824859-1",2023-06-13 00:00:00.000,48.00,14309.19
"4581824859-1",2023-06-16 00:00:00.000,49.50,14756.36
"4581824859-1",2023-06-17 00:00:00.000,67.50,20122.30
"4581824859-1",2023-06-19 00:00:00.000,190.50,56789.62
"4581824859-1",2023-06-24 00:00:00.000,42.00,12520.54
"4581824859-1",2023-06-26 00:00:00.000,-431.50,0.00
"4581824859-1",2023-06-29 00:00:00.000,-18.00,-5365.95
"4581824859-1",2023-07-05 00:00:00.000,-661.50,-200734.03
"4581824859-1",2023-07-06 00:00:00.000,-67.50,-20483.06
"4581824859-1",2023-07-13 00:00:00.000,394.50,119712.12
"4581824859-1",2023-08-04 00:00:00.000,118.50,36814.74
"4581824859-1",2023-08-21 00:00:00.000,24.00,7456.15
"4581824859-1",2023-08-22 00:00:00.000,637.50,198054.02
"4581824859-1",2024-06-24 00:00:00.000,1.00,298.93
"4581829892-1",2022-12-20 00:00:00.000,1.00,8918.87
"4581831188-1",2023-02-17 00:00:00.000,1.00,139.70
"4581832296-1",2022-12-22 00:00:00.000,4.00,728.60
"4581832746-1",2023-01-08 00:00:00.000,1.00,0.00
"4581832746-1",2023-03-03 00:00:00.000,-1.00,0.00
"4581832746-2",2023-01-08 00:00:00.000,1.00,0.00
"4581832746-2",2023-03-03 00:00:00.000,-1.00,0.00
"4581832746-3",2023-01-08 00:00:00.000,1.00,0.00
"4581832746-3",2023-03-03 00:00:00.000,-1.00,0.00
"4581832746-4",2023-01-08 00:00:00.000,1.00,0.00
"4581832746-4",2023-03-03 00:00:00.000,-1.00,0.00
"4581832746-5",2023-01-08 00:00:00.000,1.00,0.00
"4581832746-5",2023-03-03 00:00:00.000,-1.00,0.00
"4581832746-6",2023-01-08 00:00:00.000,1.00,0.00
"4581832746-6",2023-03-03 00:00:00.000,-1.00,0.00
"4581832746-7",2023-01-08 00:00:00.000,1.00,0.00
"4581832746-7",2023-03-03 00:00:00.000,-1.00,0.00
"4581834737-1",2022-12-15 00:00:00.000,2.00,0.00
"4581837071-1",2022-12-13 00:00:00.000,5.00,59.40
"4581837173-1",2022-12-08 00:00:00.000,1.00,27.67
"4581837795-1",2023-08-23 00:00:00.000,1.00,0.01
"4581838136-1",2023-03-09 00:00:00.000,96.00,11723.20
"4581838136-1",2023-04-06 00:00:00.000,279.00,33547.08
"4581838136-1",2023-04-27 00:00:00.000,120.00,14428.85
"4581838136-1",2023-05-10 00:00:00.000,72.00,8554.45
"4581838136-1",2023-05-20 00:00:00.000,84.00,9980.19
"4581838136-1",2023-06-19 00:00:00.000,24.00,2818.00
"4581838136-1",2023-06-21 00:00:00.000,12.00,1409.00
"4581840374-1",2022-12-07 00:00:00.000,300.00,1830.00
"4581840883-1",2023-03-19 00:00:00.000,6.00,788.52
"4581840883-2",2023-03-06 00:00:00.000,12.00,1255.56
"4581840883-3",2023-03-19 00:00:00.000,4.00,311.08
"4581840883-3",2023-05-04 00:00:00.000,8.00,622.16
"4581840883-4",2023-03-19 00:00:00.000,6.00,222.54
"4581840883-5",2023-03-19 00:00:00.000,6.00,661.92
"4581840883-6",2023-03-19 00:00:00.000,30.00,2.10
"4581841156-1",2022-12-13 00:00:00.000,1.00,12449.30
"4581843806-1",2022-12-28 00:00:00.000,5.00,34.95
"4581845418-1",2022-12-22 00:00:00.000,4.00,187.32
"4581846461-1",2023-07-26 00:00:00.000,6.00,6558.48
"4581846461-2",2022-12-22 00:00:00.000,50.00,1444.50
"4581846461-3",2022-12-22 00:00:00.000,12.00,9.36
"4581846461-4",2022-12-22 00:00:00.000,24.00,28.56
"4581846525-1",2023-02-16 00:00:00.000,3432.00,22342.32
"4581846525-1",2023-03-09 00:00:00.000,2376.00,15467.76
"4581846533-1",2023-01-08 00:00:00.000,2915.00,19093.25
"4581847466-1",2023-05-16 00:00:00.000,2.00,480.00
"4581847466-2",2023-05-16 00:00:00.000,2.00,550.00
"4581847466-3",2023-05-16 00:00:00.000,2.00,604.00
"4581847859-1",2022-12-09 00:00:00.000,80.00,76.80
"4581848878-1",2023-03-07 00:00:00.000,1.00,217.09
"4581848878-1",2023-09-22 00:00:00.000,1.00,8649.65
"4581848917-1",2023-01-08 00:00:00.000,1.00,0.00
"4581848917-1",2023-03-03 00:00:00.000,-1.00,0.00
"4581848917-10",2023-01-08 00:00:00.000,1.00,0.00
"4581848917-10",2023-03-03 00:00:00.000,-1.00,0.00
"4581848917-11",2023-01-08 00:00:00.000,1.00,0.00
"4581848917-11",2023-03-03 00:00:00.000,-1.00,0.00
"4581848917-12",2023-01-08 00:00:00.000,1.00,0.00
"4581848917-12",2023-03-03 00:00:00.000,-1.00,0.00
"4581848917-13",2023-01-08 00:00:00.000,1.00,0.00
"4581848917-13",2023-03-03 00:00:00.000,-1.00,0.00
"4581848917-14",2023-01-08 00:00:00.000,1.00,0.00
"4581848917-14",2023-03-03 00:00:00.000,-1.00,0.00
"4581848917-15",2023-01-08 00:00:00.000,1.00,0.00
"4581848917-15",2023-03-03 00:00:00.000,-1.00,0.00
"4581848917-16",2023-01-08 00:00:00.000,1.00,0.00
"4581848917-16",2023-03-03 00:00:00.000,-1.00,0.00
"4581848917-17",2023-01-08 00:00:00.000,1.00,0.00
"4581848917-17",2023-03-03 00:00:00.000,-1.00,0.00
"4581848917-18",2023-01-08 00:00:00.000,1.00,0.00
"4581848917-18",2023-03-03 00:00:00.000,-1.00,0.00
