po_line_id,gr_posting_date,gr_effective_quantity,gr_amount_usd
4581816348-22,2025-04-24,4.0,796.16
4581816348-23,2025-04-24,2.0,386.04
4581816348-24,2025-04-24,2.0,277.42
4581816348-25,2025-04-24,1.0,1791.47
4581816348-26,2025-04-24,1.0,1966.39
4581816348-27,2025-04-24,1.0,3305.47
4581816348-28,2025-04-24,4.0,4560.16
4581816348-29,2025-04-24,4.0,1447.72
4581816348-3,2025-04-24,1.0,1768.0
4581816348-30,2025-04-24,2.0,1202.34
4581816348-31,2025-04-24,1.0,337.81
4581816348-32,2025-04-24,1.0,1692.48
4581816348-33,2025-04-24,1.0,339.77
4581816348-34,2025-04-24,1.0,7531.72
4581816348-35,2025-04-24,1.0,1381.31
4581816348-4,2025-04-24,1.0,3395.25
4581816348-5,2025-04-24,1.0,3756.25
4581816348-6,2025-04-24,1.0,4159.51
4581816348-7,2025-04-24,1.0,5925.14
4581816348-8,2025-04-24,1.0,1288.08
4581816348-9,2025-04-24,1.0,1352.52
4581816556-1,2023-05-16,2.0,0.0
4581816568-1,2022-12-21,22.0,1466.64
4581816568-1,2022-12-29,8.0,0.0
4581820843-1,2022-12-07,1.0,0.0
4581823294-1,2023-01-25,1.0,0.0
4581824586-1,2023-04-04,100.0,0.0
4581824586-2,2023-01-06,100.0,0.0
4581824586-3,2023-04-04,100.0,0.0
4581824703-1,2023-01-03,50.0,0.0
4581824859-1,2023-04-04,591.0,180418.83
4581824859-1,2023-04-26,1195.5,364958.91
4581824859-1,2023-05-19,1533.0,372427.06
4581824859-1,2023-07-13,980.5,297535.52
4581829892-1,2023-03-27,1.0,0.0
4581831188-1,2023-02-28,1.0,0.0
4581832296-1,2023-01-03,4.0,0.0
4581832746-1,2023-03-27,1.0,5000.01
4581832746-1,2023-05-30,-1.0,-5000.01
4581832746-2,2023-03-27,1.0,5000.01
4581832746-2,2023-05-30,-1.0,-5000.01
4581832746-3,2023-03-27,1.0,5000.01
4581832746-3,2023-05-30,-1.0,-5000.01
4581832746-4,2023-03-27,1.0,5000.01
4581832746-4,2023-05-30,-1.0,-5000.01
4581832746-5,2023-03-27,1.0,5000.01
4581832746-5,2023-05-30,-1.0,-5000.01
4581832746-6,2023-03-27,1.0,5000.01
4581832746-6,2023-05-30,-1.0,-5000.01
