po_line_id,invoice_posting_date,ir_effective_quantity,ir_amount_usd
4581824859-1,2023-05-25,103.5,31220.79
4581824859-1,2023-06-06,144.0,42927.59
4581824859-1,2023-06-07,238.5,71098.82
4581824859-1,2023-06-10,181.5,54106.63
4581824859-1,2023-06-13,48.0,14309.19
4581824859-1,2023-06-16,49.5,14756.36
4581824859-1,2023-06-17,67.5,20122.3
4581824859-1,2023-06-19,190.5,56789.62
4581824859-1,2023-06-24,42.0,12520.54
4581824859-1,2023-06-26,-431.5,0.0
4581824859-1,2023-06-29,-18.0,-5365.95
4581824859-1,2023-07-05,-661.5,-200734.03
4581824859-1,2023-07-06,-67.5,-20483.06
4581824859-1,2023-07-13,394.5,119712.12
4581824859-1,2023-08-04,118.5,36814.74
4581824859-1,2023-08-21,24.0,7456.15
4581824859-1,2023-08-22,637.5,198054.02
4581824859-1,2024-06-24,1.0,298.93
4581829892-1,2022-12-20,1.0,8918.87
4581831188-1,2023-02-17,1.0,139.7
4581832296-1,2022-12-22,4.0,728.6
4581832746-1,2023-01-08,1.0,0.0
4581832746-1,2023-03-03,-1.0,0.0
4581832746-2,2023-01-08,1.0,0.0
4581832746-2,2023-03-03,-1.0,0.0
4581832746-3,2023-01-08,1.0,0.0
4581832746-3,2023-03-03,-1.0,0.0
4581832746-4,2023-01-08,1.0,0.0
4581832746-4,2023-03-03,-1.0,0.0
4581832746-5,2023-01-08,1.0,0.0
4581832746-5,2023-03-03,-1.0,0.0
4581832746-6,2023-01-08,1.0,0.0
4581832746-6,2023-03-03,-1.0,0.0
4581832746-7,2023-01-08,1.0,0.0
4581832746-7,2023-03-03,-1.0,0.0
4581834737-1,2022-12-15,2.0,0.0
4581837071-1,2022-12-13,5.0,59.4
4581837173-1,2022-12-08,1.0,27.67
4581837795-1,2023-08-23,1.0,0.01
4581838136-1,2023-03-09,96.0,11723.2
4581838136-1,2023-04-06,279.0,33547.08
4581838136-1,2023-04-27,120.0,14428.85
4581838136-1,2023-05-10,72.0,8554.45
4581838136-1,2023-05-20,84.0,9980.19
4581838136-1,2023-06-19,24.0,2818.0
4581838136-1,2023-06-21,12.0,1409.0
4581840374-1,2022-12-07,300.0,1830.0
4581840883-1,2023-03-19,6.0,788.52
4581840883-2,2023-03-06,12.0,1255.56
4581840883-3,2023-03-19,4.0,311.08
4581840883-3,2023-05-04,8.0,622.16
4581840883-4,2023-03-19,6.0,222.54
4581840883-5,2023-03-19,6.0,661.92
4581840883-6,2023-03-19,30.0,2.1
4581841156-1,2022-12-13,1.0,12449.3
4581843806-1,2022-12-28,5.0,34.95
4581845418-1,2022-12-22,4.0,187.32
4581846461-1,2023-07-26,6.0,6558.48
4581846461-2,2022-12-22,50.0,1444.5
