PO Line ID,Invoice Posting Date,IR Effective Quantity,Invoice Amount
4581983465-3,2023-02-21 00:00:00.000,20.0,742.4
4581983465-30,2023-03-21 00:00:00.000,10.0,89.4
4581983465-31,2023-03-21 00:00:00.000,20.0,10.4
4581983465-32,2023-03-21 00:00:00.000,20.0,1.2
4581983465-4,2023-03-21 00:00:00.000,5.0,333.2
4581983465-5,2023-02-21 00:00:00.000,5.0,135.2
4581983465-6,2023-02-21 00:00:00.000,20.0,12.0
4581983465-7,2023-03-21 00:00:00.000,20.0,67.8
4581983465-8,2023-05-25 00:00:00.000,5.0,198.85
4581983465-9,2023-03-21 00:00:00.000,20.0,33.4
4581983466-1,2023-03-21 00:00:00.000,10.0,16.7
4581983466-10,2023-02-21 00:00:00.000,10.0,401.2
4581983466-11,2023-03-21 00:00:00.000,10.0,0.6
4581983466-12,2023-02-21 00:00:00.000,50.0,18.5
4581983466-13,2023-02-21 00:00:00.000,100.0,136.0
4581983466-14,2023-03-21 00:00:00.000,10.0,1.4
4581983466-15,2023-02-21 00:00:00.000,20.0,14.0
4581983466-16,2023-02-21 00:00:00.000,20.0,28.2
4581983466-17,2023-02-21 00:00:00.000,20.0,27.2
4581983466-18,2023-02-21 00:00:00.000,20.0,230.8
4581983466-19,2023-02-21 00:00:00.000,100.0,100.0
4581983466-2,2023-02-21 00:00:00.000,10.0,64.7
4581983466-20,2023-02-21 00:00:00.000,50.0,8.5
4581983466-21,2023-02-21 00:00:00.000,50.0,101.5
4581983466-22,2023-02-21 00:00:00.000,50.0,97.0
4581983466-23,2023-02-21 00:00:00.000,100.0,21.0
4581983466-24,2023-03-28 00:00:00.000,1968.0,275.52
4581983466-24,2023-04-15 00:00:00.000,1968.0,275.52
4581983466-25,2023-04-15 00:00:00.000,2.0,908.9
4581983466-26,2023-02-21 00:00:00.000,100.0,12.0
4581983466-27,2023-02-21 00:00:00.000,100.0,23.0
4581983466-28,2023-02-21 00:00:00.000,4.0,187.28
4581983466-29,2023-02-21 00:00:00.000,10.0,94.3
4581983466-3,2023-02-21 00:00:00.000,10.0,7.1
4581983466-30,2023-02-21 00:00:00.000,4.0,615.16
4581983466-31,2023-02-21 00:00:00.000,100.0,46.0
4581983466-32,2023-02-21 00:00:00.000,10.0,6.0
4581983466-4,2023-02-21 00:00:00.000,10.0,207.4
4581983466-5,2023-02-21 00:00:00.000,10.0,6.0
4581983466-6,2023-03-21 00:00:00.000,10.0,33.9
4581983466-7,2023-07-10 00:00:00.000,10.0,104.6
4581983466-8,2023-03-21 00:00:00.000,10.0,246.1
4581983466-9,2023-03-28 00:00:00.000,39.0,2726.49
4581983466-9,2023-04-05 00:00:00.000,1.0,69.91
4581983467-1,2023-04-13 00:00:00.000,2.0,115.84
4581983467-1,2023-07-03 00:00:00.000,8.0,463.36
4581983468-1,2023-05-09 00:00:00.000,1.0,1532.28
4581983468-2,2023-06-03 00:00:00.000,1.0,1566.17
4581983522-1,2023-07-10 00:00:00.000,2.0,101.84
4581983899-1,2023-07-29 00:00:00.000,10.0,158.9
4581983899-2,2023-07-29 00:00:00.000,3.0,1051.8
4581983899-3,2023-07-29 00:00:00.000,3.0,652.65
4581983899-4,2023-08-09 00:00:00.000,2.0,905.92
4581984510-1,2024-06-13 00:00:00.000,1.0,1468.58
4581984510-2,2024-04-11 00:00:00.000,1.0,2265.04
4581986343-1,2023-02-24 00:00:00.000,4.0,43.68
4581986405-1,2023-04-26 00:00:00.000,4.0,2035.04
4581986405-2,2023-04-26 00:00:00.000,4.0,4709.48
4581986424-1,2023-03-08 00:00:00.000,2.0,151.94
4581986424-2,2023-02-22 00:00:00.000,3.0,609.06
4581986424-2,2023-05-08 00:00:00.000,1.0,203.02
4581986431-1,2023-02-21 00:00:00.000,200.0,218.0
4581986621-1,2023-03-03 00:00:00.000,1.0,7758.13
4581986635-1,2023-02-14 00:00:00.000,8.0,2785.2
4581986790-1,2023-02-21 00:00:00.000,6.0,1461.6
4581986790-1,2023-03-27 00:00:00.000,2.0,487.2
4581986931-1,2023-05-24 00:00:00.000,2.0,1211.52
4581987457-1,2023-05-02 00:00:00.000,1.0,6211.29
4581987473-1,2023-05-02 00:00:00.000,1.0,6211.29
4581987477-1,2023-05-02 00:00:00.000,1.0,6211.29
4581987539-1,2023-05-02 00:00:00.000,1.0,6211.29
4581987540-1,2023-05-02 00:00:00.000,1.0,6211.29
4581989000-1,2023-02-13 00:00:00.000,4.0,227.2
4581989033-1,2023-03-07 00:00:00.000,14.0,3549.28
4581989033-2,2023-05-06 00:00:00.000,1.0,809.5
4581989033-3,2023-03-30 00:00:00.000,4.0,35.0
4581989033-3,2023-05-10 00:00:00.000,1.0,8.75
4581989033-3,2023-06-10 00:00:00.000,2.0,17.5
4581989033-6,2023-03-30 00:00:00.000,1.0,366.21
4581989033-8,2023-03-06 00:00:00.000,1.0,2855.82
4581989033-9,2023-03-07 00:00:00.000,1.0,4015.71
4581989034-1,2023-02-21 00:00:00.000,3.0,2596.5
4581989997-2,2023-07-27 00:00:00.000,1.0,2439.94
4581989997-3,2023-04-03 00:00:00.000,3.0,1310.16
4581989997-3,2023-04-17 00:00:00.000,1.0,436.72
4581989997-5,2023-05-16 00:00:00.000,2.0,264.06
4581989997-5,2023-07-27 00:00:00.000,22.0,2904.66
4581989997-5,2023-10-03 00:00:00.000,8.0,1056.24
4581990002-1,2023-02-18 00:00:00.000,1.0,4015.71
4581990007-1,2023-06-13 00:00:00.000,10.0,1424.1
4581990007-10,2023-03-23 00:00:00.000,1.0,89.29
4581990007-2,2023-05-18 00:00:00.000,4.0,1359.4
4581990007-4,2023-02-23 00:00:00.000,2.0,191.42
4581990007-5,2023-02-23 00:00:00.000,2.0,140.9
4581990007-6,2023-07-05 00:00:00.000,1.0,260.21
4581990007-7,2023-06-13 00:00:00.000,2.0,154.34
4581990007-8,2023-05-05 00:00:00.000,2.0,57.54
4581990007-9,2023-05-26 00:00:00.000,4.0,115.08
4581992477-1,2023-08-15 00:00:00.000,1.0,10217.74
4581992477-2,2023-05-03 00:00:00.000,4.0,634.4
4581992477-3,2023-05-03 00:00:00.000,16.0,81.28
4581992477-4,2023-08-15 00:00:00.000,4.0,131.88
4581992477-5,2023-05-03 00:00:00.000,4.0,8.12
4581992500-1,2023-04-03 00:00:00.000,2.0,8.12
4581992500-2,2023-07-26 00:00:00.000,8.0,1205.44
4581992500-3,2023-04-03 00:00:00.000,4.0,7.32
4581992500-4,2023-07-26 00:00:00.000,3.0,27.45
4581992500-5,2023-04-03 00:00:00.000,1.0,19.29
4581992500-6,2023-07-26 00:00:00.000,8.0,82.0
4581992500-7,2023-04-03 00:00:00.000,4.0,4.08
4581992500-8,2023-04-03 00:00:00.000,1.0,106.58
4581992500-9,2023-07-26 00:00:00.000,1.0,11.66
4581993721-1,2023-03-03 00:00:00.000,50.0,123.5
4581993721-2,2023-03-03 00:00:00.000,50.0,108.5
4581993721-3,2023-07-20 00:00:00.000,2.0,2195.74
4581993721-4,2023-02-22 00:00:00.000,10.0,208.3
4581993721-5,2023-02-22 00:00:00.000,50.0,324.0
4581993721-6,2023-02-22 00:00:00.000,5.0,545.6
4581993721-7,2023-02-22 00:00:00.000,100.0,136.0
4581996161-1,2023-03-03 00:00:00.000,4.0,1776.8
4581996161-2,2023-03-03 00:00:00.000,5.0,683.2
4581996181-1,2023-06-13 00:00:00.000,4.0,10353.44
4581999322-1,2023-04-25 00:00:00.000,436.0,3099.96
4581999329-1,2023-03-06 00:00:00.000,3.0,7363.11
4581999330-1,2023-05-25 00:00:00.000,1.0,2406.65
4581999499-10,2023-05-06 00:00:00.000,5.0,2.15
4581999499-14,2023-03-07 00:00:00.000,8.0,38.24
4581999499-14,2023-04-04 00:00:00.000,8.0,38.24
4581999499-14,2023-08-07 00:00:00.000,-1.0,-4.78
4581999499-15,2023-03-07 00:00:00.000,5.0,2.45
4581999499-17,2023-03-07 00:00:00.000,4.0,83.6
4581999499-18,2023-05-16 00:00:00.000,1.0,66.89
4581999499-19,2023-03-07 00:00:00.000,2.0,38.04
4581999499-2,2023-03-07 00:00:00.000,1.0,11.44
